"message,"date-time","tick"
"Secret elaborated","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted array into csv","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted array into csv","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted array into csv","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted array into csv","2021-01-26 16:50:22.070180","1611676222.07018"
"Writed outputs","2021-01-26 16:50:22.070180","1611676222.07018"
"End","2021-01-26 16:50:22.070180","1611676222.07018"
"Start","2021-01-26 16:51:00.108221","1611676260.109219"
"Log inizialized","2021-01-26 16:51:00.108221","1611676260.109219"
"Readed configuration file","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted csv into array","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted csv into array","2021-01-26 16:51:00.108221","1611676260.109219"
"Readed input(s) file","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted csv into array","2021-01-26 16:51:00.108221","1611676260.109219"
"Load users IDs","2021-01-26 16:51:00.108221","1611676260.109219"
"Getted all position where delete","2021-01-26 16:51:00.108221","1611676260.109219"
"Secret header elaborated","2021-01-26 16:51:00.108221","1611676260.109219"
"Secret body elaborated","2021-01-26 16:51:00.108221","1611676260.109219"
"Secret elaborated","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted array into csv","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted array into csv","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted array into csv","2021-01-26 16:51:00.108221","1611676260.109219"
"Converted array into csv","2021-01-26 16:51:00.108221","1611676260.109219"
"Writed outputs","2021-01-26 16:51:00.108221","1611676260.109219"
"End","2021-01-26 16:51:00.108221","1611676260.109219"
"Start","2021-01-26 16:51:33.934998","1611676293.934998"
"Log inizialized","2021-01-26 16:51:33.934998","1611676293.934998"
"Readed configuration file","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted csv into array","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted csv into array","2021-01-26 16:51:33.934998","1611676293.934998"
"Readed input(s) file","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted csv into array","2021-01-26 16:51:33.934998","1611676293.934998"
"Load users IDs","2021-01-26 16:51:33.934998","1611676293.934998"
"Getted all position where delete","2021-01-26 16:51:33.934998","1611676293.934998"
"Secret header elaborated","2021-01-26 16:51:33.934998","1611676293.934998"
"Secret body elaborated","2021-01-26 16:51:33.934998","1611676293.934998"
"Secret elaborated","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted array into csv","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted array into csv","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted array into csv","2021-01-26 16:51:33.934998","1611676293.934998"
"Converted array into csv","2021-01-26 16:51:33.934998","1611676293.934998"
"Writed outputs","2021-01-26 16:51:33.934998","1611676293.934998"
"End","2021-01-26 16:51:33.934998","1611676293.934998"
"Start","2021-01-26 16:51:42.072760","1611676302.07276"
"Log inizialized","2021-01-26 16:51:42.072760","1611676302.07276"
"Readed configuration file","2021-01-26 16:51:42.072760","1611676302.07276"
"Converted csv into array","2021-01-26 16:51:42.072760","1611676302.07276"
"Converted csv into array","2021-01-26 16:51:42.072760","1611676302.07276"
"Readed input(s) file","2021-01-26 16:51:42.072760","1611676302.07276"
"Converted csv into array","2021-01-26 16:51:42.072760","1611676302.07276"
"Load users IDs","2021-01-26 16:51:42.072760","1611676302.07276"
"Getted all position where delete","2021-01-26 16:51:42.072760","1611676302.07276"
"Secret header elaborated","2021-01-26 16:51:42.072760","1611676302.07276"
"Secret body elaborated","2021-01-26 16:51:42.072760","1611676302.07276"
"Secret elaborated","2021-01-26 16:51:42.072760","1611676302.07276"
"Converted array into csv","2021-01-26 16:51:42.072760","1611676302.07276"
